site,transition_obs,logit_obs,transition_pred,logit_pred,state_start,state_end,year_end,year_start,density_end,prop_exposed_end,density_start,prop_exposed_start,den_exposed_start,ln_den_exp_start,ln_den_exp_end,den_conceiled_start,ln_den_conceiled_start,ln_prop_exp_start,ln_den_start
REF_091,PERSIST,0,BARREN,1,FOR,BAR,2018,2017,8.9375,0.64243052,7.25,0.189230388,1.371920311,0.863699885,0.496177169,5.878079689,1.928339498,0.173306365,2.1102132
REF_092,BARREN,1,PERSIST,0,BAR,BAR,2018,2017,7.3125,0.844724026,1.75,0.119047619,0.208333333,0.189242,0.612329687,1.541666667,0.932820034,0.112477983,1.011600912
REF_094,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,41.3125,0.989179816,73.25,0.978450176,71.67147542,4.285948947,0.687722401,1.578524582,0.947217368,0.682313799,4.307437778
REF_095,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,21.8125,0.956993332,25.25,1,25.25,3.267665989,0.671409281,0,0,0.693147181,3.267665989
REF_096,PERSIST,0,BARREN,1,FOR,BAR,2018,2017,31.125,0.811271825,1.875,0,0,0,0.594029264,1.875,1.056052674,0,1.056052674
REF_097,PERSIST,0,PERSIST,0,FOR,FOR,2018,2017,4,0.157891414,3.625,0.048958333,0.177473958,0.163371431,0.146600605,3.447526042,1.492347996,0.047797608,1.531476371
REF_099,PERSIST,0,PERSIST,0,BAR,BAR,2018,2017,18.3125,0.927010242,17,0.930238119,15.81404802,2.822214729,0.655969704,1.185951978,0.782051422,0.657643373,2.890371758
REF_003,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.625,0.016741071,0.4375,0.025,0.0109375,0.010878118,0.016602484,0.4265625,0.355267704,0.024692613,0.362905494
REF_004,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.9375,0.01171875,2.75,0.084517045,0.232421875,0.208981237,0.011650617,2.517578125,1.25777272,0.081134768,1.32175584
REF_005,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,13.75,0.950520833,10.6875,0.952715774,10.18214983,2.414318742,0.668096431,0.505350167,0.40902554,0.669221108,2.458519895
REF_006,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.5,0.0625,2.0625,0.219886364,0.453515625,0.373985191,0.060624622,1.608984375,0.958961017,0.19875771,1.119231576
REF_007,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,8.3125,0.901860119,6.9375,0.517134081,3.587617688,1.523360867,0.642832417,3.349882312,1.47014879,0.416823082,2.071598364
REF_008,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.6875,0.932040949,31.5625,0.979602563,30.91870588,3.463192229,0.658576931,0.643794121,0.497007058,0.682896099,3.48316132
REF_009,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,0.3125,0,0.4375,0,0,0,0,0.4375,0.362905494,0,0.362905494
REF_010,PERSIST,0,FOREST,1,BAR,FOR,2019,2018,2.133333333,0.218452381,9.25,0.926609849,8.571141099,2.258752435,0.197581513,0.678858901,0.518114337,0.655761903,2.327277706
REF_012,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,28.3125,0.515032844,19.5625,0.35357611,6.916832652,2.068991208,0.415437118,12.64566735,2.613422061,0.30275006,3.023469029
REF_014,FOREST,1,FOREST,1,BAR,FOR,2019,2018,9.5625,0.112553123,9.3125,0.330902778,3.081532117,1.406472437,0.106657485,6.230967883,1.978372898,0.285857492,2.333356752
REF_015,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,3.75,0.0125,19.9375,0.155139323,3.093090246,1.409300246,0.01242252,16.84440975,2.88169028,0.144220962,3.04154181
REF_016,FOREST,1,FOREST,1,BAR,FOR,2019,2018,7.1875,0.205430857,8.0625,0.757386364,6.106427557,1.960999664,0.18683706,1.956072443,1.08386151,0.563827685,2.20414502
REF_017,FOREST,1,PERSIST,0,FOR,FOR,2019,2018,0,0,0,0,0,0,0,0,0,0,0
REF_019,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,16.3125,0.850952381,34.375,0.900877193,30.96765351,3.464724564,0.615700307,3.407346491,1.483272806,0.64231546,3.566005356
REF_020,BARREN,1,BARREN,1,FOR,BAR,2019,2018,37.93333333,0.891924896,4,0.041666667,0.166666667,0.15415068,0.637594774,3.833333333,1.575536361,0.040821995,1.609437912
REF_021,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,18,0.975198413,28.375,0.967970522,27.46616355,3.348716138,0.680668855,0.908836452,0.646493869,0.67700282,3.380143972
REF_022,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,51.9375,0.968586417,32,0.985657051,31.54102564,3.482501621,0.67731573,0.458974358,0.377733694,0.685949868,3.496507561
REF_024,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.625,0.008832046,1.9375,0.010416667,0.020182292,0.019981329,0.008793272,1.917317708,1.070664601,0.010362787,1.077558879
REF_025,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,14.8125,1,18.0625,0.909924451,16.43551039,2.858508953,0.693147181,1.626989613,0.965838557,0.647063687,2.947723054
REF_026,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.75,0.003676471,14.3125,0.142828606,2.044234422,1.113249448,0.003669729,12.26826558,2.585375137,0.133506423,2.728669488
REF_027,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,11.1875,0.959280303,9.8125,0.983333333,9.648958333,2.365462078,0.672577213,0.163541667,0.151468515,0.684778931,2.380702872
REF_028,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,22.5625,0.945275867,15.75,0.964393939,15.18920455,2.784344634,0.665403801,0.560795454,0.445195598,0.67518377,2.818398258
REF_029,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7,0.511300505,5,0.485935592,2.429677961,1.232466368,0.412970542,2.570322039,1.272655799,0.396044602,1.791759469
REF_031,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,16.25,0.138166722,2.1875,0.042857143,0.09375,0.089612159,0.129418829,2.09375,1.129383947,0.041964199,1.15923691
REF_032,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,13.375,0.89296875,13.5625,0.823777742,11.17248562,2.499178128,0.638146364,2.390014376,1.220834162,0.600910032,2.678449731
REF_033,FOREST,1,FOREST,1,BAR,FOR,2019,2018,1.375,0.097470238,5.3125,0.829166667,4.404947916,1.687314815,0.093007748,0.907552084,0.645820788,0.60386049,1.842531795
REF_034,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.5625,0.092045455,1.5625,0.06875,0.107421875,0.102034679,0.088052502,1.455078125,0.898158584,0.066489741,0.940983344
REF_035,BARREN,1,BARREN,1,FOR,BAR,2019,2018,13.9375,0.456998163,5.625,0.210805861,1.185782967,0.781974102,0.376378266,4.439217033,1.693635123,0.191286139,1.890850372
REF_036,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.875,0.141907051,0.5625,0,0,0,0.132699717,0.5625,0.446287103,0,0.446287103
REF_038,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,9.5,0.972619048,5.375,0.893402778,4.802039931,1.758209568,0.679362126,0.572960069,0.452959239,0.638375622,1.852384091
REF_039,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.125,0.090432725,6.1875,0.173003472,1.070458984,0.727770314,0.086574613,5.117041016,1.811078485,0.15956753,1.972343406
REF_042,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7.3125,0.988636364,12.875,0.937266996,12.06731257,2.570113888,0.687449159,0.807687431,0.592048366,0.661278215,2.63008866
REF_047,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.5625,0.987417328,37.25,0.941873118,35.08477366,3.585870994,0.686835971,2.165226338,1.152224566,0.663653032,3.64414356
REF_048,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,13,0.294338474,7.5,0.208406008,1.563045058,0.941196027,0.257999734,5.936954942,1.936862909,0.189302142,2.140066163
REF_050,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,8.375,0.808522727,15.375,0.971543576,14.93748247,2.768673723,0.592510339,0.437517527,0.362917686,0.678816777,2.795755782
REF_051,FOREST,1,FOREST,1,BAR,FOR,2019,2018,2.375,0.077369506,10.8125,0.822136492,8.889350821,2.291458504,0.074522427,1.923149179,1.072661521,0.600009709,2.469158293
REF_054,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7.6875,0.878835227,15.125,0.907403165,13.72447287,2.68951093,0.630652025,1.400527133,0.875688352,0.645742717,2.780370863
REF_056,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.6875,0.03671875,4.3125,0.085611264,0.369198575,0.314225587,0.036060677,3.943301425,1.598033413,0.082143205,1.670062534
REF_058,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.8125,0.00625,1.5,0.166666667,0.25,0.223143551,0.00623055,1.25,0.810930216,0.15415068,0.916290732
REF_060,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,14.75,0.2056023,3.5625,0.269791667,0.961132813,0.673522272,0.186979276,2.601367187,1.281313548,0.238852845,1.517870719
REF_061,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,9.8125,0.952901786,26.5,0.960676894,25.45793769,3.275556215,0.669316362,1.042062314,0.713960235,0.673289768,3.314186005
REF_063,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.0625,0,3.4375,0.062009804,0.213158701,0.193227455,0,3.224341299,1.440863343,0.060163154,1.490091155
