site,state_ending_obs,logit_obs,state_ending_lda,logit_lda,start_state,end_state,year_end,year_start,den_end,prop_exposed_end,den_start,prop_exposed_start,den_exposed_start,den_con_start
REF_020,BARREN,1,BARREN,1,FOR,BAR,2019,2018,37.93333333,0.891924896,4,0.041666667,0.166666667,3.833333333
REF_021,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,18,0.975198413,28.375,0.967970522,27.46616355,0.908836452
REF_022,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,51.9375,0.968586417,32,0.985657051,31.54102564,0.458974358
REF_024,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.625,0.008832046,1.9375,0.010416667,0.020182292,1.917317708
REF_025,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,14.8125,1,18.0625,0.909924451,16.43551039,1.626989613
REF_026,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.75,0.003676471,14.3125,0.142828606,2.044234422,12.26826558
REF_027,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,11.1875,0.959280303,9.8125,0.983333333,9.648958333,0.163541667
REF_028,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,22.5625,0.945275867,15.75,0.964393939,15.18920455,0.560795454
REF_029,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7,0.511300505,5,0.485935592,2.429677961,2.570322039
REF_031,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,16.25,0.138166722,2.1875,0.042857143,0.09375,2.09375
REF_032,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,13.375,0.89296875,13.5625,0.823777742,11.17248562,2.390014376
REF_033,FOREST,1,FOREST,1,BAR,FOR,2019,2018,1.375,0.097470238,5.3125,0.829166667,4.404947916,0.907552084
REF_034,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.5625,0.092045455,1.5625,0.06875,0.107421875,1.455078125
REF_035,BARREN,1,BARREN,1,FOR,BAR,2019,2018,13.9375,0.456998163,5.625,0.210805861,1.185782967,4.439217033
REF_036,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.875,0.141907051,0.5625,0,0,0.5625
REF_038,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,9.5,0.972619048,5.375,0.893402778,4.802039931,0.572960069
REF_039,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.125,0.090432725,6.1875,0.173003472,1.070458984,5.117041016
REF_042,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7.3125,0.988636364,12.875,0.937266996,12.06731257,0.807687431
